address,brand,city,dealer,lat,lng,phone,province,tel
"西安市经济技术开发区明光路20号 （丰树物流园内）
",acura,西安,广汽Acura西安银光店,34.331199,108.935393,029-86281006,陕西,
"西安市雁塔区西影路395号
",acura,西安,广汽Acura西安白云店,34.231535,108.986299,029-89860088,陕西,
"海口市丘海大道40-1号皇冠汽车城
",acura,海口,广汽Acura海口瑞祥店,20.000137,110.299611,0898-68611000,海南,
"厦门市湖里区枋湖东路8号
",acura,厦门,广汽Acura厦门湖里店,24.51884,118.159888,0592-7395555 ,福建,
"厦门市海沧区马青路1279号
",acura,厦门,广汽Acura厦门海沧店,24.494846,118.021886,0592-6889666,福建,
"合肥市包河工业区天津路3号
",acura,合肥,广汽Acura合肥包河店,31.806414,117.35521,0551-63499888,安徽,
"乌鲁木齐市头屯河区天恒基汽车城
",acura,乌鲁木齐,广汽Acura乌鲁木齐长友利群店,43.901297,87.380459,0991-6659333,新疆,
"江门市江海区五邑路121号礼乐利生汽车城内（车辆办证大楼旁）
",acura,江门,广汽Acura江门利生店,22.559777,113.084186,0750-3617233,广东,
"深圳市罗湖区清水河三路18号博兴大厦BX-102 
",acura,深圳,广汽Acura深圳顺通发店,22.584916,114.118225,0755-22235999,广东,
"深圳市宝安区沙井镇南环路康达尔工业区宏信汽车园 
",acura,深圳,广汽Acura深圳车友店,22.714723,113.839283,0755-27298688,广东,
"重庆市北部新区金渝大道99号汽博中心C区讴歌4S店
",acura,重庆,广汽Acura重庆汽博店,29.648133,106.582311,023-67308866,重庆,
"重庆市经开区白鹤路工业园区1号联合厂房一层
",acura,重庆,广汽Acura重庆瑞盈店,29.516589,106.568103,023-88658666,重庆,
"北京市朝阳区东苇路金港汽车公园北门外
",acura,北京,广汽Acura北京金港店,40.024408,116.568403,010-84349898,北京,
"北京市海淀区杏石口路15号
",acura,北京,广汽Acura北京华通店,39.953518,116.26764,010-50980300,北京,
"北京市朝阳区德外花虎沟26号
",acura,北京,广汽Acura北京日银店,40.022997,116.367016,010-62916299,北京,
"武汉市江夏区江夏大道26号（庙山社区旁）
",acura,武汉,广汽Acura武汉车友店,30.40523,114.378032,027-81566688/400-868,湖北,
"武汉市硚口区长丰大道170号
",acura,武汉,广汽Acura武汉江城店,30.613678,114.218856,027-83838188,湖北,
"长春市汽车产业开发区长沈路3555号
",acura,长春,广汽Acura长春长沈店,43.830772,125.212405,0431-87837777,吉林,
"南昌市昌北经开区玉屏东大街环球公园旁讴歌4S店
",acura,南昌,广汽Acura南昌玉屏路店,28.73177,115.845379,0791-83970011,江西,
"上海市杨浦区国和路688号
",acura,上海,广汽Acura上海五角场店,31.321578,121.526766,021-65579999,上海,
"上海市闵行区中春路7169号1/2/3幢
",acura,上海,广汽Acura上海中春路店,31.146108,121.351166,400-8213-703,上海,
"汕头市龙湖区汕汾公路与衡山路交界处
",acura,汕头,广汽Acura汕头金田店,23.396256,116.732243,0754-88880069,广东,
"梅州市梅县区扶大高管会剑英大道
",acura,梅州,广汽Acura梅州嘉骏店Acura销售体验中心,24.276605,116.091111,0753-2331882,广东,
"唐山市开平区越河乡税中村
",acura,唐山,广汽Acura唐山广润店Acura销售体验中心,39.633712,118.240718,0315-2977888,河北,
"郑州市中原西路与杭州路交叉口大中原国际汽车城D区19号
",acura,郑州,广汽Acura 郑州智通店,34.760899,113.499518,0371-67614444,河南,
"郑州市惠济区花园路与开元路交叉口河南汽贸中心院内（讴歌4s店）
",acura,郑州,广汽Acura郑州荣耀店,34.872168,113.682012,0371-65856888,河南,
"中山市小榄镇菊城大道永宁路段金宁汽车城内
",acura,中山,广汽Acura中山菊城店,0,0,0760-22288618,广东,
"中山市东区长江北路白沙岗工业园金基汽车城内第11栋
",acura,中山,广汽Acura中山利生店,22.563297,113.419797,0760-88636060,广东,
"珠海市南屏镇珠海大道3015号
",acura,珠海,广汽Acura珠海南屏店,22.218061,113.483429,0756-8696099,广东,
广州市荔湾区芳村龙溪大道大沙埠488号金马汽车交易市场自编号,acura,广州,广汽Acura广州芳村店,23.072458,113.198427,020-66819188,广东,
"广州市番禺区大石迎宾路河村路段214号 
",acura,广州,广汽Acura广州番禺店,23.022409,113.340896,020-66602222,广东,
"广州市天河区车陂西路217号之三
",acura,广州,广汽Acura广州天河店,23.143406,113.388465,020-66378333,广东,
"广州市白云区黄石东路851号（外语学院正门斜对面）
",acura,广州,广汽Acura广州白云店,23.207725,113.293299,020-66310777,广东,
常州市武进区湖塘镇火炬南路19号,acura,常州,广汽Acura常州长虹店,31.708841,119.979067,0519-88668199,江苏,
"南通市崇川开发区啬园路2号 
",acura,南通,广汽Acura南通崇海店,31.968619,120.900594,0513-81001111,江苏,
"石家庄市北二环西路187号
",acura,石家庄,广汽Acura石家庄恒达店,38.092822,114.46556,0311-86956166,河北,
"扬州市荷叶东路160号
",acura,扬州,广汽Acura扬州长旺店,32.452836,119.393893,0514-85599555,江苏,
"成都市金牛区高家村3组
",acura,成都,广汽Acura成都百翔店Acura销售体验中心,0,0,028-68111168,四川,
"成都市锦江区皇经楼路229号长缘讴歌4S店
",acura,成都,广汽Acura成都长缘捷龙店,30.600408,104.116839,028-85920950,四川,
"长沙市长沙县中南汽车世界B区01-02号  
",acura,长沙,广汽Acura长沙顺熙店,28.239427,113.065859,0731-82873333,湖南,
"长沙市天心区芙蓉南路与雀园路交汇处以东400米（讴歌德驰店）
",acura,长沙,广汽Acura长沙德驰店,28.094633,113.001632,0731-88423333,湖南,
