address,brand,city,dealer,lat,lng,phone,province,tel
安徽省合肥市庐阳工业区蒙城北路2102号   邮编 230041,mini,合肥,合肥宝利丰汽车销售服务有限公司,31.94705471,117.2664244,0551-65737838,安徽,0551-63419393
安徽省合肥市经济技术开发区繁华大道18号,mini,合肥,合肥市宝之佳汽车销售服务有限公司,31.789454,117.274352,0551-66181133,安徽,0551-66181111
"安徽省芜湖市经济技术开发区九华北路112号 邮编241000
",mini,芜湖,芜湖宝利盛汽车销售服务有限公司,31.469396,118.417573,,安徽,
北京市海淀区杏石口路16号,mini,北京,北京卡森汽车服务有限公司,39.951724,116.266734,010-8848 0011,北京,010-8848 0000
北京市朝阳区王四营乡马房寺村334号,mini,北京,北京翼翔行汽车销售服务有限公司,39.876273,116.54043,010-87393366,北京,+86 010 - 87390088
北京市朝阳区将台乡安家楼西十里67号 100016,mini,北京,北京宝信行汽车销售服务有限公司,39.964456,116.496147,010-84323222,北京,010-84323333
"北京市朝阳区金盏乡东苇路北京金港展览展示有限公司C区10号1001,邮编100018",mini,北京,北京晨德宝汽车销售有限公司,40.018894,116.570196,010-8433 4348,北京,010-8479 5354
亦庄北京经济技术开发区宏达北路26号 100176,mini,北京,北京东宝金龙经贸发展有限公司,39.801469,116.51881,010-67886708,北京,"010-67821666	"
重庆市北部新区金童路2号,mini,重庆,重庆宝盛汽车销售服务有限公司渝北分公司,29.648033,106.579029,023-6772 7993,重庆,023-6772 7991
"重庆市北部新区高新园金开大道15号
",mini,重庆,重庆宝创汽车销售服务有限公司,,,,重庆,023 6500 3333
重庆市九龙坡区九滨路1号,mini,重庆,重庆中升之宝汽车销售服务有限公司,29.516935,106.536899,023-8831 3506,重庆,023-86619666 
重庆市北部新区金童路2号  邮编401121,mini,重庆,重庆宝渝汽车销售服务有限公司,,,023-8686 1155,重庆,023-8686 1000
福建省福州市闵侯县尚干镇青口海峡汽车文化广场C地块汽车高端品牌4S店C1 350119,mini,福州,福建星德宝汽车销售服务有限公司,25.92077,119.385229,0591-22818833,福建,0591-2207 8833
福建省福州市仓山区科技园6区168号，350007,mini,福州,福州中宝汽车销售服务有限公司,26.095099,119.327452,0591-8320 8811,福建,0591-8326 5533
"泉州市鲤城区常泰路3号, 邮编 362005",mini,泉州,泉州福宝汽车销售服务有限公司,24.914847,118.523418,0595-2888 3388,福建,0595-2888 8253
福建省厦门市湖滨东路309号,mini,厦门,厦门中宝汽车有限公司,24.488295,118.105423,0592-503 3098,福建,0592-3336333
厦门市湖里区枋钟路机场候机楼广场西南侧,mini,厦门,厦门信达通宝汽车销售服务有限公司,24.531947,118.134893,0592-333 1170,福建,0592-333 1666
兰州市安宁区北滨河西路88号（沙井驿街道办事处旁）           邮编：730079,mini,兰州,兰州宝鑫行汽车销售服务有限公司,36.142962,103.644394,0931-832 6580,甘肃,0931-770 1111
广东省东莞市南城区元美路华凯广场Ａ108-109，邮编 523071,mini,东莞,东莞市合宝汽车销售服务有限公司第一分公司,22.990736,113.730536,0769-2312 1228,广东,0769-2312 1818
"广东省佛山市南海区桂城石(石肯)三、四村桂澜路段, 528200
",mini,佛山,佛山通宝汽车销售服务有限公司,,,,广东,
广东省广州市番禺区大石街迎宾路205号，511430,mini,广州,广州宝悦汽车贸易有限公司,,,,广东,020-84788715-120
"广东省广州市天河区大观南路57号,邮编510660",mini,广州,广州宝悦汽车贸易有限公司第一分公司,23.148427,113.411826,020-8216 8206,广东,020- 8216 8668
广州市荔湾区芳村大道东146-1号   510140,mini,广州,广州宝泽汽车销售服务有限公司,23.095803,113.251321,020-8159 9336,广东,020-8189 9999
广东省汕头市龙湖区泰山路116号1楼，515041,mini,汕头,汕头市宝悦汽车贸易有限公司,23.399758,116.752688,0754-89996177,广东,"0754-89996166	"
广东省汕头市龙湖区泰山路116号,mini,汕头,汕头市宝悦德宏汽车服务有限公司-泰山路分公司,23.399758,116.752688,,广东,
"深圳市福田区福田汽车站福安大厦南楼一、二层,518040
",mini,深圳,深圳宝源行汽车销售服务有限公司,,,,广东,
广东省深圳市南山区深南大道科艺路1号森那美大厦2楼 邮编518057,mini,深圳,深圳市宝创汽车贸易有限公司,22.546186,113.945491,0755 - 8266 8822,广东,0755 -2654 4998
中国广东省深圳市宝安区西乡大道与锦花路交汇处正泰商业大厦一楼,mini,深圳,深圳市宝创汽车贸易有限公司宝安分公司,22.595972,113.897007,0755 - 8266 8822,广东,0755-2998 5079
深圳市南山区月亮湾大道港城路和十号路交汇处 邮编 518051,mini,深圳,深圳市宝创汽车贸易有限公司南山分公司,22.514648,113.895202,0755 - 2646 3033,广东,"0755-2646 4488	"
珠海市香洲区情侣南路288号龙园雅苑192号,mini,珠海,珠海宝泽汽车销售服务有限公司,22.234008,113.571442,0756-391 2000,广东,0756-391 2988
广东省珠海市高新区金鼎金峰北路200号,mini,珠海,珠海宝泽汽车销售服务有限公司,22.38779,113.555177,0756-391 1000,广东,0756-391 1901
广西壮族自治区柳州市鱼峰区西江路26号 邮编545006,mini,柳州,柳州粤宝汽车销售服务有限公司,,,,广西壮族自治区,
广西壮族自治区南宁市白沙大道130号,mini,南宁,南宁中达桂宝汽车服务有限公司,22.784074,108.287311,0771-488 3550,广西壮族自治区,0771-488 0058
南宁市邕宁区龙岗大道天坛路30号,mini,南宁,南宁中达桂之宝汽车销售服务有限公司,,,,广西壮族自治区,
贵阳市南明区市东路33号,mini,贵阳,贵阳宝源汽车销售服务有限公司,26.581219,106.727353,0851-5619222,贵州,0851-85619222
贵州省遵义市红花岗区高新技术产业园内邮编：563000,mini,遵义,遵义宝源汽车销售服务有限公司,27.634588,106.887702,0852-28986910,贵州,0852-23299888
"海南省海口市南海大道137号,邮编570216",mini,海口,海南宝悦汽车销售服务有限公司,20.003052,110.293973,0898-6862 1108,海南,0898-68656666-1
三亚市凤凰镇机场路贵宾楼旁,mini,三亚,三亚粤宝汽车销售服务有限公司,18.314662,109.429144,,海南,0898－88205999
保定市复兴东路1989号,mini,保定,保定东澜誉宝汽车销售服务有限公司,38.89541,115.560605,0312-506 7777,河北,0312-6275566
保定市朝阳北大街1255号 邮编071051,mini,保定,保定轩之宝汽车销售服务有限公司,38.91262,115.475493,0312-3917802,河北,0312-3917800
河北省邯郸市复兴区北环路88号现代国际汽贸城 邮编056003,mini,邯郸,邯郸市宝和汽车销售服务有限公司,36.658157,114.474979,0310-3156333,河北,0310-3154888
廊坊经济技术开发区创业路22号065001,mini,廊坊,廊坊燕宝汽车销售服务有限公司,39.58672,116.783419,0316-250 9088,河北,0316-277 1888
秦皇岛海港区东港路299-3号 邮编066000,mini,秦皇岛,秦皇岛威宝汽车销售服务有限公司,39.958296,119.641696,0335-8558777,河北,0335-3515333
石家庄市桥西区西二环南路189-8号,mini,石家庄,石家庄宝翔行汽车销售服务有限公司,38.022086,114.445017,0311-89632088,河北,0311-8963 0188
唐山市开平区开越路566号,mini,唐山,唐山中宝汽车销售服务有限公司,39.648556,118.270182,0315-5250088,河北,0315-565 6666
河南省洛阳市洛龙区龙门大道300号,mini,洛阳,洛阳豫德宝汽车销售服务有限公司,34.685258,112.512393,0379-65529266,河南,0379 63611111
郑州市金水区郑花路与杓袁路东北角,mini,郑州,河南英之翼汽车销售服务有限公司,34.858868,113.687532,0371-55181677,河南,0371-55160000
河南省郑州市郑东新区商务内环与西三街,mini,郑州,河南中德宝汽车销售服务有限公司CBD展厅,34.777839,113.726871,0371-8751 8790,河南,0371-8751 8787
"黑龙江省哈尔滨市松北区中源大道9656号, 邮编: 150027",mini,哈尔滨,哈尔滨龙宝汽车销售服务有限公司,45.818991,126.561597,0451-8668 1123,黑龙江,0451-8682 0777
武汉市盘龙经济开发区盘龙汽车城 430312,mini,武汉,武汉鄂之宝汽车销售服务有限公司,30.730504,114.246322,027-6188 9255,湖北,027-61889966
武汉市江汉区香港路1号  邮编 430014,mini,武汉,武汉宝泽汽车销售服务有限公司,30.636598,114.286456,027-5920 9305,湖北,027-5920 9999
